aria-label,item-type,item-id,img-link,src-rect,item-type-number
"Salad, , $4.99",flyer-item,807486719,https://sf.flipp.com/items/1234.sfml,10199.721 1111.97 263.45900000000074 424.3399999999999,1
"Limes, , $4.99",flyer-item,807486720,https://sf.flipp.com/items/1234.sfml,9248.4645 1636.56 291.4385000000002 438.3299999999999,1
"Peppers, , $6.99 /lb",flyer-item,807486721,https://sf.flipp.com/items/1234.sfml,9257.7905 2074.89 282.1125000000011 412.6700000000001,1
"Grands or Ready To Bake Cookies, 200 Scene+ PTS when you buy 3, $3.99",flyer-item,807486722,https://sf.flipp.com/items/1234.sfml,9602.854 1570.11 283.6680000000015 278.6200000000001,1
"All-Day Breakfast Hashbrowns, , $3.99",flyer-item,807486723,https://sf.flipp.com/items/1234.sfml,9602.854 1848.73 283.6680000000015 278.6199999999999,1
"Dip, , $2.49",flyer-item,807486724,https://sf.flipp.com/items/1234.sfml,9886.522 1570.11 283.66699999999946 278.6200000000001,1
"SODASTREAM Fountain Style, , $6.99",flyer-item,807486725,https://sf.flipp.com/items/1234.sfml,9886.522 1848.73 283.66699999999946 278.6199999999999,1
"Multi Serve Meals, 200 Scene+ PTS when you buy 2, $11.99",flyer-item,807486726,https://sf.flipp.com/items/1234.sfml,10170.189 1570.11 283.6710000000003 278.6200000000001,1
"Classic Assorted Crackers, 50 Scene+ PTS when you buy 1, $5.49",flyer-item,807486727,https://sf.flipp.com/items/1234.sfml,10170.189 1848.73 283.6710000000003 278.6199999999999,1
"Pretzels, , 3/ $9.99",flyer-item,807486728,https://sf.flipp.com/items/1234.sfml,9600.523 2128.51 275.1180000000004 305.42999999999984,1
"Tortilla Chips, , 2/ $9",flyer-item,807486729,https://sf.flipp.com/items/1234.sfml,9875.641 2135.51 585.2090000000007 298.42999999999984,1
"Buns, 80 Scene+ PTS when you buy 2, $4.49",flyer-item,807486713,https://sf.flipp.com/items/1234.sfml,9847.663 741.262 237.8140000000003 137.56000000000006,1
"COMPLIMENTS Extra Large Cooked Shrimp in Ring, , $10",flyer-item,807486730,https://sf.flipp.com/items/1234.sfml,10508.5763 166.236 336.3676999999989 513.076,1
"COMPLIMENTS or PANACHE Pork Back Ribs, Chicken Wings, Meat Appetizers, Meatballs, Egg Rolls or Spring Rolls, , Buy 2 Get 1 FREE* starting at $5.99 ea",flyer-item,807486731,https://sf.flipp.com/items/1234.sfml,10948.798999999999 321.244 463.47400000000016 305.365,1
"COMPLIMENTS or PANACHE Smoked Atlantic Salmon, , $9.99",flyer-item,807486732,https://sf.flipp.com/items/1234.sfml,10508.5763 702.563 314.66569999999956 300.717,1
"California Family Pack Sushi, , $15.99",flyer-item,807486733,https://sf.flipp.com/items/1234.sfml,10832.543 792.468 554.9279999999999 209.26200000000006,1
"Mini Pepperoni, Salami or Turkey Bites, , $9.99",flyer-item,807486734,https://sf.flipp.com/items/1234.sfml,10519.4269 1186.32 320.8660999999993 354.96000000000004,1
"Swiss-Style Original L'EXTRA Brie Single or Double Cream, 35% off, 250 Scene+ PTS when you buy 400 g or more, ",flyer-item,807486735,https://sf.flipp.com/items/1234.sfml,10840.293 1015.81 575.0799999999999 525.47,1
"MATT & STEVE'S Extreme Beans, , STARTING AT $4.49",flyer-item,807486736,https://sf.flipp.com/items/1234.sfml,10513.323 1546.93 303.22999999999956 303.23,1
"Cranberry Sauce, , 2/ $5",flyer-item,807486737,https://sf.flipp.com/items/1234.sfml,10816.553 1544.6 282.2360000000008 305.5600000000002,1
"Chipits, , $4.49",flyer-item,807486738,https://sf.flipp.com/items/1234.sfml,11098.789 1544.6 312.5599999999995 296.23,1
"Artesano Baguette, , $4.99",flyer-item,807486739,https://sf.flipp.com/items/1234.sfml,11108.12 1840.83 303.22899999999936 286.9000000000001,1
"Triple-Smoked Oysters, 100 Scene+ PTS when you buy 2, $1.99",flyer-item,807486740,https://sf.flipp.com/items/1234.sfml,10508.6579 1847.83 599.4621000000006 279.9000000000001,1
"GLAD Garbage Bags, 300 Scene+ PTS when you buy 2, $10.99",flyer-item,807486741,https://sf.flipp.com/items/1234.sfml,10508.6579 2134.73 298.5640999999996 289.23,1
"Laundry Detergent, 500 Scene+ PTS when you buy 2, $25.99",flyer-item,807486742,https://sf.flipp.com/items/1234.sfml,10807.222 2130.06 599.4619999999995 293.9000000000001,1
"COMPLIMENTS or PANACHE Pork Back Ribs, Chicken Wings, Meat Appetizers, Meatballs, Egg Rolls or Spring Rolls, , Buy 2 Get 1 FREE* starting at $5.99 ea",flyer-item,807486731,https://sf.flipp.com/items/1234.sfml,11201.462 626.609 210.8109999999997 110.05599999999993,1
"Made-to-order trays, Get 1000 Scene+ PTS When you spend $100 or Get 2500 Scene+ PTS When you spend $200 or more, ",flyer-item,807486743,https://sf.flipp.com/items/1234.sfml,11520.8902 72.146 2437.9197999999997 2060.5739999999996,1
"Learn more, , ",flyer-item,807486744,https://sf.flipp.com/items/1234.sfml,12723.2 2151.22 1180.119999999999 292.2600000000002,5
"Fresh Boneless Blade or Cross Rib Pot Roast or Simmering Steak, , $9.99 /lb",flyer-item,807486745,https://sf.flipp.com/items/1234.sfml,14034.2758 51.5129 520.8271999999997 342.5671,1
"Fresh Boneless Bottom Sirloin Tri Tip Grilling Steak or Premium Oven Roast, , $12.99 /lb",flyer-item,807486746,https://sf.flipp.com/items/1234.sfml,14555.103 46.8627 416.97100000000137 347.21729999999997,1
"Seasoned Split Chicken Wings, , $4.99 /lb",flyer-item,807486747,https://sf.flipp.com/items/1234.sfml,14034.2758 395.631 395.27020000000084 260.413,1
"Boneless Pork Sirloin Chops or Roasts, , $3.99 /lb",flyer-item,807486748,https://sf.flipp.com/items/1234.sfml,14429.546 394.08 232.51200000000063 261.964,1
"Flattened Chicken, 22 Scene+ PTS when you buy 1 pkg, $5.99 /lb",flyer-item,807486749,https://sf.flipp.com/items/1234.sfml,14662.058 394.08 300.7149999999983 266.614,1
"Fresh Pork Shoulder Blade Roasts or Steak, , $3.99 /lb",flyer-item,807486750,https://sf.flipp.com/items/1234.sfml,14666.708 660.694 296.0649999999987 241.813,1
"Pork Ready to Heat Entrées, 250 Scene+ PTS when you buy 2, $14.99",flyer-item,807486751,https://sf.flipp.com/items/1234.sfml,14356.692 659.144 308.46600000000035 244.913,1
"Made Sausage Stuffed Mushroom Caps or Ground Beef Stuffed Peppers, 150 Scene+ PTS when you spend $10+, $5.99 /lb",flyer-item,807486752,https://sf.flipp.com/items/1234.sfml,14046.6765 659.144 310.0154999999995 246.46299999999997,1
"COMPLIMENTS Deli Sausage Stick, 100 Scene+ PTS when you buy 2, $4.49",flyer-item,807486753,https://sf.flipp.com/items/1234.sfml,14043.5763 905.607 232.5116999999991 314.663,1
"COMPLIMENTS Breaded Chicken Balls with Sweet & Sour Sauce or Frozen Breaded Chicken Burgers, Strips or Popcorn Chicken, 180 Scene+ PTS when you buy 2, $8.99",flyer-item,807486754,https://sf.flipp.com/items/1234.sfml,14276.088 907.157 243.3630000000012 313.11299999999994,1
"COMPLIMENTS Shepherd's or Farmhouse Pie, 150 Scene+ PTS when you buy 1, $14.99",flyer-item,807486755,https://sf.flipp.com/items/1234.sfml,14519.451000000001 905.607 227.86099999999897 311.5630000000001,1
"Breakfast or Dinner Pork Sausage, , $5.99",flyer-item,807486756,https://sf.flipp.com/items/1234.sfml,14747.312 905.607 217.01200000000063 311.5630000000001,1
"Extra Large Red, Black or Green Seedless Grapes, , $4.79 /lb",flyer-item,807486757,https://sf.flipp.com/items/1234.sfml,14040.4762 1252.82 469.6738000000005 517.73,1
"COMPLIMENTS Baby Spinach or Spring Mix, , $6.99",flyer-item,807486758,https://sf.flipp.com/items/1234.sfml,14510.15 1488.44 460.3739999999998 282.1099999999999,1
"COMPLIMENTS Mini Potatoes, 75 Scene+ PTS when you buy 2, $4.49",flyer-item,807486759,https://sf.flipp.com/items/1234.sfml,14511.7 1238.87 454.17399999999907 249.57000000000016,1
"Bosc or Red Pears, , $3.49 /lb",flyer-item,807486760,https://sf.flipp.com/items/1234.sfml,14034.2758 1883.71 461.9242000000013 269.71000000000004,1
"Mini Watermelon, 100 Scene+ PTS when you buy 1, $6.99",flyer-item,807486761,https://sf.flipp.com/items/1234.sfml,14276.088 2153.42 220.112000000001 308.4699999999998,1
"Cosmic Crisp Apples, , $2.99 /lb",flyer-item,807486762,https://sf.flipp.com/items/1234.sfml,14046.6765 2162.72 229.41150000000016 299.1700000000001,1
"Artichokes, , $3.99",flyer-item,807486763,https://sf.flipp.com/items/1234.sfml,14499.3 1835.65 460.3730000000014 288.3199999999997,1
"Tomatoes, 50 Scene+ PTS when you buy 1, $5.99",flyer-item,807486764,https://sf.flipp.com/items/1234.sfml,14733.362 2123.97 227.8610000000008 333.27,1
"Mini Sweet Peppers, , $6.49",flyer-item,807486765,https://sf.flipp.com/items/1234.sfml,14508.6 2130.17 224.7619999999988 327.0699999999997,1
"COMPLIMENTS Extra Large Shrimp in Ring with Cocktail Sauce 312 g, , $10",flyer-item,807486766,https://sf.flipp.com/items/1234.sfml,15037.3871 1621.99 665.8068999999996 806.3599999999999,1
"COMPLIMENTS Large Cooked Shrimp in Ring with Cocktail Sauce 737 g, , $20",flyer-item,807486767,https://sf.flipp.com/items/1234.sfml,15717.989 1633.08 651.0110000000004 795.27,1
"COMPLIMENTS Pacific White Shrimp with Cocktail Sauce 680 g, , $15",flyer-item,807486768,https://sf.flipp.com/items/1234.sfml,16387.49 1459.23 636.2199999999975 969.1199999999999,1
"Marinated and Glazed In-Store Chicken Wings, 200 Scene+ PTS when you buy 1 pkg, $5.99 /lb",flyer-item,807486769,https://sf.flipp.com/items/1234.sfml,18644.05 667.746 858.2700000000004 950.754,1
"Fresh BBQ Whiskey or Honey Garlic Marinated Pork Loin Back Ribs, , $4.99 /lb",flyer-item,807486770,https://sf.flipp.com/items/1234.sfml,18000.353 1614.8 1501.9670000000006 791.6699999999998,1
"Fresh Boneless Korean BBQ or Maple Chipotle Marinated Bottom Sirloin Tri Tip Grilling Steak Cubes, , $13.99 /lb",flyer-item,807486771,https://sf.flipp.com/items/1234.sfml,17145.7861 712.139 1472.3738999999987 873.061,1
"Fresh Boneless Korean BBQ or Maple Chipotle Marinated Bottom Sirloin Tri Tip Grilling Steak Cubes, , $13.99 /lb",flyer-item,807486771,https://sf.flipp.com/items/1234.sfml,17230.873 1666.59 632.6009999999987 654.8,1
"Soft Drinks, , $0.88",flyer-item,807486772,https://sf.flipp.com/items/1234.sfml,19647.2906 124.17 229.17139999999927 282.82,1
"Crispy Minis, , $2.99 EACH WHEN YOU BUY 3 OR MORE.",flyer-item,807486773,https://sf.flipp.com/items/1234.sfml,19647.2906 406.99 229.17139999999927 266.49299999999994,1
"COMPLIMENTS Tortilla Chips, , 2/ $6",flyer-item,807486774,https://sf.flipp.com/items/1234.sfml,19647.2906 673.483 229.17139999999927 273.48900000000003,1
"CHRISTIE Cookie Snacks, , $2.99 EACH WHEN YOU BUY 2 OR MORE.",flyer-item,807486775,https://sf.flipp.com/items/1234.sfml,19647.2906 946.972 229.17139999999927 345.798,1
"Pretzels 295-370 g or Popcorn 150-220 g, , 2/ $8",flyer-item,807486776,https://sf.flipp.com/items/1234.sfml,19876.462 124.17 229.17199999999866 282.82,1
"Party Mix, 50 Scene+ PTS when you buy 1, ",flyer-item,807486777,https://sf.flipp.com/items/1234.sfml,19876.462 406.99 229.17199999999866 266.49299999999994,1
"Melba Toast, , $5.79",flyer-item,807486778,https://sf.flipp.com/items/1234.sfml,19876.462 673.483 229.17199999999866 273.48900000000003,1
"Premium Plus Crackers, , $4.99",flyer-item,807486779,https://sf.flipp.com/items/1234.sfml,19876.462 946.972 229.17199999999866 345.798,1
"King Size Chocolate Bars 85-93 g, 100 Scene+ PTS when you buy 2, ",flyer-item,807486780,https://sf.flipp.com/items/1234.sfml,20105.634 124.17 229.1720000000023 282.82,1
"Sunbrew Non-Alcoholic Beer, , $12.99",flyer-item,807486781,https://sf.flipp.com/items/1234.sfml,20105.634 406.99 229.1720000000023 266.49299999999994,1
"Cranberry Cocktail, , $4.99",flyer-item,807486782,https://sf.flipp.com/items/1234.sfml,20105.634 673.483 229.1720000000023 273.48900000000003,1
"Apple Juice, , 2/ $7",flyer-item,807486783,https://sf.flipp.com/items/1234.sfml,20105.634 946.972 229.1720000000023 345.798,1
"Original, , $4.49 with Scene+ Card",flyer-item,807486784,https://sf.flipp.com/items/1234.sfml,20334.806 124.17 229.17099999999846 282.82,1
"KRONENBOURG Blanc 0% Non-Alcoholic Beer, 300 Scene+ PTS when you buy 1, ",flyer-item,807486785,https://sf.flipp.com/items/1234.sfml,20334.806 406.99 229.17099999999846 266.49299999999994,1
"Energy Drinks, , 2/ $5",flyer-item,807486786,https://sf.flipp.com/items/1234.sfml,20334.806 673.483 229.17099999999846 273.48900000000003,1
"KELLOGG'S Special K or Kashi Bars, , 2/ $7",flyer-item,807486787,https://sf.flipp.com/items/1234.sfml,20334.806 946.972 229.17099999999846 345.798,1
"COMPLIMENTS Snacks, 100 Scene+ PTS when you buy 2, ",flyer-item,807486788,https://sf.flipp.com/items/1234.sfml,19640.3254 1302.11 242.5835999999981 251.91000000000008,1
"COMPLIMENTS Bagged Jumbo Cereal, 300 Scene+ PTS when you buy 2, $5",flyer-item,807486789,https://sf.flipp.com/items/1234.sfml,19892.239 1297.44 219.2589999999982 249.58999999999992,1
"COMPLIMENTS Yogurt Drinks, 50 Scene+ PTS when you buy 2, ",flyer-item,807486790,https://sf.flipp.com/items/1234.sfml,20113.83 1297.44 212.2609999999986 256.5799999999999,1
"COMPLIMENTS Tablet Chocolate Bars, , $2.29 EACH WHEN YOU BUY 2 OR MORE.",flyer-item,807486791,https://sf.flipp.com/items/1234.sfml,20326.091 1302.11 235.58599999999933 247.25,1
"Overnight Oats, , $6.99 with Scene+ Card",flyer-item,807486792,https://sf.flipp.com/items/1234.sfml,19648.7713 1631.85 229.02469999999812 285.21000000000004,1
"Plant Based Cheese Alternative, , $3.99",flyer-item,807486793,https://sf.flipp.com/items/1234.sfml,19648.7713 1917.06 229.02469999999812 266.6100000000001,1
"Sleep, Magnesium or Digestion Vitamins, 30% off, ",flyer-item,807486794,https://sf.flipp.com/items/1234.sfml,19648.7713 2183.67 229.02469999999812 275.9200000000001,1
"ORGANIC Crackers, , $6.49",flyer-item,807486795,https://sf.flipp.com/items/1234.sfml,19877.796 1631.85 229.02400000000125 285.21000000000004,1
"KITCHEN Bowls or Entrées, , $7.49",flyer-item,807486796,https://sf.flipp.com/items/1234.sfml,19877.796 1917.06 229.02400000000125 266.6100000000001,1
"Bars, , $8.99",flyer-item,807486797,https://sf.flipp.com/items/1234.sfml,19877.796 2183.67 229.02400000000125 275.9200000000001,1
"Tortilla Chips, , $4.29",flyer-item,807486798,https://sf.flipp.com/items/1234.sfml,20106.82 1631.85 229.02400000000125 285.21000000000004,1
"1-Step Smoothies or 1-Step Frappés, 100 Scene+ PTS when you buy 1, $9.99",flyer-item,807486799,https://sf.flipp.com/items/1234.sfml,20106.82 1917.06 229.02400000000125 266.6100000000001,1
"Keto Bombs, , $9.99",flyer-item,807486800,https://sf.flipp.com/items/1234.sfml,20106.82 2183.67 229.02400000000125 275.9200000000001,1
"Energy Drinks, , $2.99",flyer-item,807486801,https://sf.flipp.com/items/1234.sfml,20335.844 1631.85 229.0239999999976 285.21000000000004,1
"OLYMPIC ORGANIC Yogurt, , $10.99",flyer-item,807486802,https://sf.flipp.com/items/1234.sfml,20335.844 1917.06 229.0239999999976 266.6100000000001,1
"Dish, Floor and Surface Liquid Cleaners, , $3.99",flyer-item,807486803,https://sf.flipp.com/items/1234.sfml,20335.844 2183.67 229.0239999999976 275.9200000000001,1
"Pizza Pockets, , $3.99 with Scene+ Card",flyer-item,807486804,https://sf.flipp.com/items/1234.sfml,20625.3267 118.001 226.69930000000022 283.66499999999996,1
"Momenti, Panini or Garlic Fingers, 100 Scene+ PTS when you buy 2, ",flyer-item,807486805,https://sf.flipp.com/items/1234.sfml,20625.3267 401.666 226.69930000000022 271.26399999999995,1
"PILLSBURY Pizza Pops, , $3.49",flyer-item,807486806,https://sf.flipp.com/items/1234.sfml,20625.3267 672.93 226.69930000000022 263.51300000000003,1
"Ice Cream, , $6.99",flyer-item,807486807,https://sf.flipp.com/items/1234.sfml,20852.026 118.001 226.6989999999969 283.66499999999996,1
"Toaster Strudel, , $3.49",flyer-item,807486808,https://sf.flipp.com/items/1234.sfml,20852.026 401.666 226.6989999999969 271.26399999999995,1
"Flavour Crisp Fries, , $3.99",flyer-item,807486809,https://sf.flipp.com/items/1234.sfml,20852.026 672.93 226.6989999999969 263.51300000000003,1
"COMPLIMENTS Free Run Large White Eggs, , $5.99",flyer-item,807486810,https://sf.flipp.com/items/1234.sfml,21078.725 118.001 226.69900000000052 283.66499999999996,1
"COMPLIMENTS Pure Orange Juice, , $5.99",flyer-item,807486811,https://sf.flipp.com/items/1234.sfml,21078.725 401.666 226.69900000000052 271.26399999999995,1
