name,price,measurement,remark,item-type,item-id,item-type-number
Nestle Real Dairy,$4.87,1,"Nestle Real Dairy, Rollback, $4.87",flyer-item,808998932,1
Nestle Real Dairy,$4.87,1,"Nestle Real Dairy, Rollback, $4.87",flyer-item,808998932,1
Nestle Real Dairy or Confectionery Tubs,$4.87,1,"Nestle Real Dairy or Confectionery Tubs, Rollback, $4.87",flyer-item,808998938,1
Nestle Real Dairy or Confectionery Tubs,$4.87,1,"Nestle Real Dairy or Confectionery Tubs, Rollback, $4.87",flyer-item,808998938,1
Cracker Barrel Shreds 320 g,$3.01,1,"Cracker Barrel Shreds 320 g, Save $3.01, $4.97",flyer-item,808998944,1
Cracker Barrel Shreds 320 g,$3.01,1,"Cracker Barrel Shreds 320 g, Save $3.01, $4.97",flyer-item,808998944,1
Cracker Barrel Cheese Block 400 g,$3.01,1,"Cracker Barrel Cheese Block 400 g, Save $3.01, $4.97",flyer-item,808998948,1
Cracker Barrel Cheese Block 400 g,$3.01,1,"Cracker Barrel Cheese Block 400 g, Save $3.01, $4.97",flyer-item,808998948,1
Simply Orange Juice,$1.10,1,"Simply Orange Juice, Save $1.10, $5.88",flyer-item,808998952,1
Simply Lemonade,$1.10,1,"Simply Lemonade, Save $1.10, $5.88",flyer-item,808998956,1
Royale Velour or Original Bathroom Tissue,$7.50,1,"Royale Velour or Original Bathroom Tissue, Save $7.50, $12.47",flyer-item,808998963,1
Royale Original Bathroom Tissue,$7.50,1,"Royale Original Bathroom Tissue, Save $7.50, $12.47",flyer-item,808998967,1
Dr. Oetker Ristorante Frozen Pizza,$4.47,1,"Dr. Oetker Ristorante Frozen Pizza, , $4.47",flyer-item,808983442,1
Dr. Oetker Casa di Mama Frozen Pizza,$4.47,1,"Dr. Oetker Casa di Mama Frozen Pizza, , $4.47",flyer-item,808983446,1
Kellog's Premium Cereal,$8,1,"Kellog's Premium Cereal, Multi, 2 for $8 or 5.97 each",flyer-item,808983451,1
Kellogg's Premium Cereal,$8,1,"Kellogg's Premium Cereal, Multi, 2 for $8 or $5.97 each",flyer-item,808983455,1
Bear Paws Cookies,$8,1,"Bear Paws Cookies, Multi, 3 for $8 or 3.27 each",flyer-item,808983461,1
Bear Paws Cookies,$8,1,"Bear Paws Cookies, Multi, 3 for $8 or $3.27 each",flyer-item,808983467,1
Kraft Singles Cheese Slices,$1.81,1,"Kraft Singles Cheese Slices, Save $1.81, $3.97",flyer-item,808983482,1
Kraft Shingles Cheese Slices,$1.81,1,"Kraft Shingles Cheese Slices, Save $1.81, $3.97",flyer-item,808983490,1
Leclerc Célébration Cookies,$2.47,1,"Leclerc Célébration Cookies, Rollback, $2.47",flyer-item,808983497,1
Leclerc Cookies,$2.47,1,"Leclerc Cookies, Rollback, $2.47",flyer-item,808983503,1
Snyder's Pretzel Pieces,$2.97,1,"Snyder's Pretzel Pieces, Rollback, $2.97",flyer-item,808983511,1
Snyder's Pretzel Pieces,$2.97,1,"Snyder's Pretzel Pieces, Rollback, $2.97",flyer-item,808983519,1
Mini Babybel,$3.47,1,"Mini Babybel, Rollback, $3.47",flyer-item,808983529,1
Mini Babybel,$3.47,1,"Mini Babybel, Rollback, $3.47",flyer-item,808983536,1
Kraft Cheez Whiz,$2,1,"Kraft Cheez Whiz, Save $2, $3.97",flyer-item,808983543,1
Maxwell House Ground Coffee,$1,1,"Maxwell House Ground Coffee, Save $1, $8.97",flyer-item,808983551,1
Maxwell House Ground Coffee,$1,1,"Maxwell House Ground Coffee, SAVE $1, $8.97",flyer-item,808983558,1
Saporito Extra Virgin Olive Oil,$3,1,"Saporito Extra Virgin Olive Oil, SAVE $3, $11.97",flyer-item,808983564,1
Michelina's Entrees Light Entrees,$1,1,"Michelina's Entrees Light Entrees, Save $1, $1.47",flyer-item,808983570,1
Michelina's Entrees Zap'ems,$1,1,"Michelina's Entrees Zap'ems, Save $1, $1.47",flyer-item,808983574,1
Coca Cola or Pepsi,$13,1,"Coca Cola or Pepsi, Multi, 2 for $13 or $6.97 each",flyer-item,808983578,1
Coca-Cola or Pepsi,$13,1,"Coca-Cola or Pepsi, Multi, 2 for $13 or 6.97 each",flyer-item,808983582,1
Pillsbury Pizza Pops,$18.97,1,"Pillsbury Pizza Pops, Rollback, $18.97",flyer-item,808983586,1
Pillsburry Pizza Pops,$18.97,1,"Pillsburry Pizza Pops, Rollback, $18.97",flyer-item,808983590,1
Activia Tubs 650 g or Two Good 4 x 95 g Yogurt,$10,1,"Activia Tubs 650 g or Two Good 4 x 95 g Yogurt, Multi, 3 for $10 or 4.47 to 4.58 each",flyer-item,808983594,1
Activia Tubs 650h or Two Good,$10,1,"Activia Tubs 650h or Two Good, 4x95g Yogurt, Multi, 3 FOR $10 or $4.47 to $4.58 each",flyer-item,808983598,1
Nordica Cottage Cheese,$3.98,1,"Nordica Cottage Cheese, Rollback, $3.98",flyer-item,808983603,1
Nordica Cottage Cheese,$3.98,1,"Nordica Cottage Cheese, Rollback, $3.98",flyer-item,808983607,1
Wonder Bread,$6,1,"Wonder Bread, Multi, 2 for $6 or 3.17 to 4.67 each",flyer-item,808983611,1
Ben's Holsum Fresh Bread,$6,1,"Ben's Holsum Fresh Bread, Multi, 2 for $6 or 3.17 to 4.67 each",flyer-item,808983615,1
Dr. Oetker Ristorante Frozen Pizza,$4.47,1,"Dr. Oetker Ristorante Frozen Pizza, , $4.47",flyer-item,808983442,1
Dr. Oetker Casa di Mama Frozen Pizza,$4.47,1,"Dr. Oetker Casa di Mama Frozen Pizza, , $4.47",flyer-item,808983446,1
Kellog's Premium Cereal,$8,1,"Kellog's Premium Cereal, Multi, 2 for $8 or 5.97 each",flyer-item,808983451,1
Kellogg's Premium Cereal,$8,1,"Kellogg's Premium Cereal, Multi, 2 for $8 or $5.97 each",flyer-item,808983455,1
Bear Paws Cookies,$8,1,"Bear Paws Cookies, Multi, 3 for $8 or 3.27 each",flyer-item,808983461,1
Bear Paws Cookies,$8,1,"Bear Paws Cookies, Multi, 3 for $8 or 3.27 each",flyer-item,808983461,1
Bear Paws Cookies,$8,1,"Bear Paws Cookies, Multi, 3 for $8 or $3.27 each",flyer-item,808983467,1
Bear Paws Cookies,$8,1,"Bear Paws Cookies, Multi, 3 for $8 or $3.27 each",flyer-item,808983467,1
Kraft Singles Cheese Slices,$1.81,1,"Kraft Singles Cheese Slices, Save $1.81, $3.97",flyer-item,808983482,1
Kraft Shingles Cheese Slices,$1.81,1,"Kraft Shingles Cheese Slices, Save $1.81, $3.97",flyer-item,808983490,1
Leclerc Célébration Cookies,$2.47,1,"Leclerc Célébration Cookies, Rollback, $2.47",flyer-item,808983497,1
Leclerc Cookies,$2.47,1,"Leclerc Cookies, Rollback, $2.47",flyer-item,808983503,1
Snyder's Pretzel Pieces,$2.97,1,"Snyder's Pretzel Pieces, Rollback, $2.97",flyer-item,808983511,1
Snyder's Pretzel Pieces,$2.97,1,"Snyder's Pretzel Pieces, Rollback, $2.97",flyer-item,808983519,1
Mini Babybel,$3.47,1,"Mini Babybel, Rollback, $3.47",flyer-item,808983529,1
Mini Babybel,$3.47,1,"Mini Babybel, Rollback, $3.47",flyer-item,808983536,1
Maxwell House Ground Coffee,$1,1,"Maxwell House Ground Coffee, Save $1, $8.97",flyer-item,808983551,1
Maxwell House Ground Coffee,$1,1,"Maxwell House Ground Coffee, SAVE $1, $8.97",flyer-item,808983558,1
Michelina's Entrees Light Entrees,$1,1,"Michelina's Entrees Light Entrees, Save $1, $1.47",flyer-item,808983570,1
Michelina's Entrees Zap'ems,$1,1,"Michelina's Entrees Zap'ems, Save $1, $1.47",flyer-item,808983574,1
Coca Cola or Pepsi,$13,1,"Coca Cola or Pepsi, Multi, 2 for $13 or $6.97 each",flyer-item,808983578,1
Coca-Cola or Pepsi,$13,1,"Coca-Cola or Pepsi, Multi, 2 for $13 or 6.97 each",flyer-item,808983582,1
Pillsbury Pizza Pops,$18.97,1,"Pillsbury Pizza Pops, Rollback, $18.97",flyer-item,808983586,1
Pillsburry Pizza Pops,$18.97,1,"Pillsburry Pizza Pops, Rollback, $18.97",flyer-item,808983590,1
Activia Tubs 650 g or Two Good 4 x 95 g Yogurt,$10,1,"Activia Tubs 650 g or Two Good 4 x 95 g Yogurt, Multi, 3 for $10 or 4.47 to 4.58 each",flyer-item,808983594,1
Activia Tubs 650h or Two Good,$10,1,"Activia Tubs 650h or Two Good, 4x95g Yogurt, Multi, 3 FOR $10 or $4.47 to $4.58 each",flyer-item,808983598,1
Nordica Cottage Cheese,$3.98,1,"Nordica Cottage Cheese, Rollback, $3.98",flyer-item,808983603,1
Nordica Cottage Cheese,$3.98,1,"Nordica Cottage Cheese, Rollback, $3.98",flyer-item,808983607,1
Wonder Bread,$6,1,"Wonder Bread, Multi, 2 for $6 or 3.17 to 4.67 each",flyer-item,808983611,1
Ben's Holsum Fresh Bread,$6,1,"Ben's Holsum Fresh Bread, Multi, 2 for $6 or 3.17 to 4.67 each",flyer-item,808983615,1
McCain Tart!ez Frozen Appetizers,$8.97,1,"McCain Tart!ez Frozen Appetizers, , $8.97",flyer-item,806273268,1
McCain Tas ez Frozen Appetizers,$8.97,1,"McCain Tas ez Frozen Appetizers, , $8.97",flyer-item,806273270,1
Great Value Breaded Chicken Strips,$9.77,1,"Great Value Breaded Chicken Strips, Nuggets or burgers, , $9.77",flyer-item,806273272,1
Great Value Breaded Chicken Strips,$9.77,1,"Great Value Breaded Chicken Strips, Nuggets or Burgers, , $9.77",flyer-item,806273273,1
Great Value Shrimp 71 - 90 per Ib. Cooked,$9.97,1,"Great Value Shrimp 71 - 90 per Ib. Cooked, , $9.97",flyer-item,806273275,1
Great Value Shrimp 61 - 70 per lb. Raw,$9.97,1,"Great Value Shrimp 61 - 70 per lb. Raw, , $9.97",flyer-item,806273277,1
Mandarin Frozen Fully Cooked Ready to Serve Meals,$10.97,1,"Mandarin Frozen Fully Cooked Ready to Serve Meals, , $10.97",flyer-item,806273279,1
Olivieri Fresh Gnocchi Pasta,$10,1,"Olivieri Fresh Gnocchi Pasta, Multi, 2 for $10 or 5.47 each",flyer-item,806273281,1
Bulk Seedless Oranges,$1.97,1,"Bulk Seedless Oranges, , $1.97 lb.",flyer-item,806273283,1
Bulk Green Peppers,$2.97,1,"Bulk Green Peppers, , $2.97 lb.",flyer-item,806273285,1
Your Fresh Market™ Spinach or Ice Berg Garden Salad,$3.47,1,"Your Fresh Market™ Spinach or Ice Berg Garden Salad, , $3.47",flyer-item,806273287,1
Your Fresh Market™ Spinach Garden Salad,$3.47,1,"Your Fresh Market™ Spinach Garden Salad, , $3.47",flyer-item,806273289,1
Maple Leaf Pork Tenderloin,$9.97,1,"Maple Leaf Pork Tenderloin, Rollback, $9.97",flyer-item,806273290,1
Omy! Fresh Salads,$2.27,1,"Omy! Fresh Salads, Save 70¢, $2.27",flyer-item,806273291,1
Summer Fresh Dips,$3.47,1,"Summer Fresh Dips, Rollback, $3.47",flyer-item,806273292,1
Summer Fresh Topped,$1.01,1,"Summer Fresh Topped, Rollback $1.01, $3.47",flyer-item,806273293,1
Your Fresh Market™ Parisian Style Baguette,$2.97,1,"Your Fresh Market™ Parisian Style Baguette, , $2.97",flyer-item,806273294,1
"Your Fresh Market 5"" Cake",$6,1,"Your Fresh Market 5"" Cake, , $6",flyer-item,806273295,1
Summer Fresh Salads,$8.47,1,"Summer Fresh Salads, Rollback, $8.47",flyer-item,806273296,1
Bulk Honeycrisp Apples,$3.97,1,"Bulk Honeycrisp Apples, , $3.97 lb.",flyer-item,806273297,1
Avocados,$5.97,1,"Avocados, , $5.97",flyer-item,806273298,1
McCain Tart!ez Frozen Appetizers,$8.97,1,"McCain Tart!ez Frozen Appetizers, , $8.97",flyer-item,806273268,1
McCain Tas ez Frozen Appetizers,$8.97,1,"McCain Tas ez Frozen Appetizers, , $8.97",flyer-item,806273270,1
Great Value Breaded Chicken Strips,$9.77,1,"Great Value Breaded Chicken Strips, Nuggets or burgers, , $9.77",flyer-item,806273272,1
Great Value Breaded Chicken Strips,$9.77,1,"Great Value Breaded Chicken Strips, Nuggets or Burgers, , $9.77",flyer-item,806273273,1
Great Value Shrimp 71 - 90 per Ib. Cooked,$9.97,1,"Great Value Shrimp 71 - 90 per Ib. Cooked, , $9.97",flyer-item,806273275,1
Great Value Shrimp 61 - 70 per lb. Raw,$9.97,1,"Great Value Shrimp 61 - 70 per lb. Raw, , $9.97",flyer-item,806273277,1
Your Fresh Market™ Spinach or Ice Berg Garden Salad,$3.47,1,"Your Fresh Market™ Spinach or Ice Berg Garden Salad, , $3.47",flyer-item,806273287,1
Your Fresh Market™ Spinach Garden Salad,$3.47,1,"Your Fresh Market™ Spinach Garden Salad, , $3.47",flyer-item,806273289,1
Summer Fresh Dips,$3.47,1,"Summer Fresh Dips, Rollback, $3.47",flyer-item,806273292,1
Summer Fresh Topped,$1.01,1,"Summer Fresh Topped, Rollback $1.01, $3.47",flyer-item,806273293,1
Lindt Swiss Classic Chocolate,$9,1,"Lindt Swiss Classic Chocolate, Multi, 4 for $9 or 3.18 each",flyer-item,806274114,1
Carnation Hot Chocolate,$5.47,1,"Carnation Hot Chocolate, , $5.47",flyer-item,806274120,1
Carnation Hot Chocolate,$5.47,1,"Carnation Hot Chocolate, , $5.47",flyer-item,806274126,1
Swanson Frozen Entrees,$4.48,1,"Swanson Frozen Entrees, , $4.48",flyer-item,806274139,1
McCain Family Size Premium Fries,$6.47,1,"McCain Family Size Premium Fries, Rollback, $6.47",flyer-item,806274144,1
McCain Family Size Premium Fries,$6.47,1,"McCain Family Size Premium Fries, Rollback, $6.47",flyer-item,806274151,1
Downy Unstopables 379 g or Fabric Softener 96 -120 loads,$9.97,1,"Downy Unstopables 379 g or Fabric Softener 96 -120 loads, Rollback, $9.97",flyer-item,806274158,1
Downy Unstopables 379 g or Fabric Softener 96 - 120 loads,$9.97,1,"Downy Unstopables 379 g or Fabric Softener 96 - 120 loads, Rollback, $9.97",flyer-item,806274167,1
Gain Flings!,$20.97,1,"Gain Flings!, Rollback, $20.97",flyer-item,806274176,1
Finish Ultramax 21-Pack,$9.87,1,"Finish Ultramax 21-Pack, Jet Dry 621 mL or In-Wash Cleaner 3-Pack, Rollback, $9.87",flyer-item,806274184,1
Finish Ultramax 21-Pack,$9.87,1,"Finish Ultramax 21-Pack, Jet Dry 621 mL or In-Wash Cleaner 3-Pack, Rollback, $9.87",flyer-item,806274193,1
Spongetowels UltraPRO Triple Rolls Paper Towels,$19.97,1,"Spongetowels UltraPRO Triple Rolls Paper Towels, Rollback, $19.97",flyer-item,806274205,1
Lysol Toilet Bowl Cleaner 2x 710 mL or Laundry Disinfectant 1.2L or Spray 539 or Resolve Spray 650 mL,$6.87,1,"Lysol Toilet Bowl Cleaner 2x 710 mL or Laundry Disinfectant 1.2L or Spray 539 or Resolve Spray 650 mL, Rollback, $6.87",flyer-item,806274211,1
Lysol Laundry Disinfect 1.2 L,$6.87,1,"Lysol Laundry Disinfect 1.2 L, Rollback, $6.87",flyer-item,806274218,1
Scotch-Brite Sponges 12-Pack,$8.97,1,"Scotch-Brite Sponges 12-Pack, Rollback, $8.97",flyer-item,806274229,1
Scotch-Brite Sponges 12-Pack,$8.97,1,"Scotch-Brite Sponges 12-Pack, Rollback, $8.97",flyer-item,806274238,1
Vileda RinseClean Mop System,$58.47,1,"Vileda RinseClean Mop System, Rollback, $58.47",flyer-item,806274248,1
Ziplock Freezer Bags Mega Packs,$10.77,1,"Ziplock Freezer Bags Mega Packs, , $10.77",flyer-item,806274257,1
Ziploc Freezer Bags Mega Packs,$10.77,1,"Ziploc Freezer Bags Mega Packs, , $10.77",flyer-item,806274273,1
Royale 3-Ply Facial Tissue,$19.77,1,"Royale 3-Ply Facial Tissue, Rollback, $19.77",flyer-item,806274283,1
Royale 2 or 3 Ply Facial Tissue,$19.77,1,"Royale 2 or 3 Ply Facial Tissue, Rollback, $19.77",flyer-item,806274293,1
Charmin Bathroom Tissue,$22.98,1,"Charmin Bathroom Tissue, Rollback, $22.98",flyer-item,806274302,1
Charmin Bathroom Tissue,$8,1,"Charmin Bathroom Tissue, Rollback $8, $22.98",flyer-item,806274310,1
Friskies Dry Cat Food,$21.97,1,"Friskies Dry Cat Food, Rollback, $21.97",flyer-item,806274318,1
Friskies Dry Cat Food,$21.97,1,"Friskies Dry Cat Food, Rollback, $21.97",flyer-item,806274325,1
Tidy Cats LightWeight 24/7 Performance Multi-Cat Clamping Cat Litter,$4,1,"Tidy Cats LightWeight 24/7 Performance Multi-Cat Clamping Cat Litter, Rollback $4, $28.97",flyer-item,806274331,1
Pedigree Dentastix 25 or 35 Pack or Marrobone 1.9 kg,$9.77,1,"Pedigree Dentastix 25 or 35 Pack or Marrobone 1.9 kg, Rollback, $9.77",flyer-item,806274339,1
Pedigree Dentastix 25- or 35-Pack,$9.77,1,"Pedigree Dentastix 25- or 35-Pack, Rollback, $9.77",flyer-item,806274347,1
Pedigree Dry Dog Food,$22.97,1,"Pedigree Dry Dog Food, Rollback, $22.97",flyer-item,806274355,1
Pedigree Dry Dog Food,$22.97,1,"Pedigree Dry Dog Food, Rollback, $22.97",flyer-item,806274365,1
Purina ONE Dry Dog Food,$40.97,1,"Purina ONE Dry Dog Food, Rollback, $40.97",flyer-item,806274378,1
Purina ONE Dry Dog Food,$40.97,1,"Purina ONE Dry Dog Food, Rollback, $40.97",flyer-item,806274390,1
Lindt Lindor Chocolate,$9,1,"Lindt Lindor Chocolate, Multi, 4 for $9 or $3.18 each",flyer-item,806274399,1
Central Dairies Chocolate Milk,$8,1,"Central Dairies Chocolate Milk, Multi, 3 for $8 or 3.18 each",flyer-item,806274412,1
Our Finest Belgian Biscuits,$13.98,1,"Our Finest Belgian Biscuits, , $13.98",flyer-item,806274422,1
Great Value Chocolate Coins,$2.47,1,"Great Value Chocolate Coins, , $2.47",flyer-item,806274436,1
Lindt Swiss Classic Chocolate,$9,1,"Lindt Swiss Classic Chocolate, Multi, 4 for $9 or 3.18 each",flyer-item,806274114,1
Carnation Hot Chocolate,$5.47,1,"Carnation Hot Chocolate, , $5.47",flyer-item,806274120,1
Carnation Hot Chocolate,$5.47,1,"Carnation Hot Chocolate, , $5.47",flyer-item,806274126,1
McCain Family Size Premium Fries,$6.47,1,"McCain Family Size Premium Fries, Rollback, $6.47",flyer-item,806274144,1
McCain Family Size Premium Fries,$6.47,1,"McCain Family Size Premium Fries, Rollback, $6.47",flyer-item,806274151,1
Downy Unstopables 379 g or Fabric Softener 96 -120 loads,$9.97,1,"Downy Unstopables 379 g or Fabric Softener 96 -120 loads, Rollback, $9.97",flyer-item,806274158,1
Downy Unstopables 379 g or Fabric Softener 96 - 120 loads,$9.97,1,"Downy Unstopables 379 g or Fabric Softener 96 - 120 loads, Rollback, $9.97",flyer-item,806274167,1
Finish Ultramax 21-Pack,$9.87,1,"Finish Ultramax 21-Pack, Jet Dry 621 mL or In-Wash Cleaner 3-Pack, Rollback, $9.87",flyer-item,806274184,1
Finish Ultramax 21-Pack,$9.87,1,"Finish Ultramax 21-Pack, Jet Dry 621 mL or In-Wash Cleaner 3-Pack, Rollback, $9.87",flyer-item,806274193,1
Lysol Toilet Bowl Cleaner 2x 710 mL or Laundry Disinfectant 1.2L or Spray 539 or Resolve Spray 650 mL,$6.87,1,"Lysol Toilet Bowl Cleaner 2x 710 mL or Laundry Disinfectant 1.2L or Spray 539 or Resolve Spray 650 mL, Rollback, $6.87",flyer-item,806274211,1
Lysol Laundry Disinfect 1.2 L,$6.87,1,"Lysol Laundry Disinfect 1.2 L, Rollback, $6.87",flyer-item,806274218,1
Scotch-Brite Sponges 12-Pack,$8.97,1,"Scotch-Brite Sponges 12-Pack, Rollback, $8.97",flyer-item,806274229,1
Scotch-Brite Sponges 12-Pack,$8.97,1,"Scotch-Brite Sponges 12-Pack, Rollback, $8.97",flyer-item,806274238,1
Ziplock Freezer Bags Mega Packs,$10.77,1,"Ziplock Freezer Bags Mega Packs, , $10.77",flyer-item,806274257,1
Ziploc Freezer Bags Mega Packs,$10.77,1,"Ziploc Freezer Bags Mega Packs, , $10.77",flyer-item,806274273,1
Royale 3-Ply Facial Tissue,$19.77,1,"Royale 3-Ply Facial Tissue, Rollback, $19.77",flyer-item,806274283,1
Royale 2 or 3 Ply Facial Tissue,$19.77,1,"Royale 2 or 3 Ply Facial Tissue, Rollback, $19.77",flyer-item,806274293,1
Charmin Bathroom Tissue,$22.98,1,"Charmin Bathroom Tissue, Rollback, $22.98",flyer-item,806274302,1
Charmin Bathroom Tissue,$8,1,"Charmin Bathroom Tissue, Rollback $8, $22.98",flyer-item,806274310,1
Friskies Dry Cat Food,$21.97,1,"Friskies Dry Cat Food, Rollback, $21.97",flyer-item,806274318,1
Friskies Dry Cat Food,$21.97,1,"Friskies Dry Cat Food, Rollback, $21.97",flyer-item,806274325,1
Pedigree Dentastix 25 or 35 Pack or Marrobone 1.9 kg,$9.77,1,"Pedigree Dentastix 25 or 35 Pack or Marrobone 1.9 kg, Rollback, $9.77",flyer-item,806274339,1
Pedigree Dentastix 25- or 35-Pack,$9.77,1,"Pedigree Dentastix 25- or 35-Pack, Rollback, $9.77",flyer-item,806274347,1
Pedigree Dry Dog Food,$22.97,1,"Pedigree Dry Dog Food, Rollback, $22.97",flyer-item,806274355,1
Pedigree Dry Dog Food,$22.97,1,"Pedigree Dry Dog Food, Rollback, $22.97",flyer-item,806274365,1
Purina ONE Dry Dog Food,$40.97,1,"Purina ONE Dry Dog Food, Rollback, $40.97",flyer-item,806274378,1
Purina ONE Dry Dog Food,$40.97,1,"Purina ONE Dry Dog Food, Rollback, $40.97",flyer-item,806274390,1
Lindt Lindor Chocolate,$9,1,"Lindt Lindor Chocolate, Multi, 4 for $9 or $3.18 each",flyer-item,806274399,1
Selected Books,$21.98,1,"Selected Books, , $21.98",flyer-item,808983724,1
Selected Books,$21.98,1,"Selected Books, , $21.98",flyer-item,808983731,1
TRESemme Core Shampoo or Conditioner,$5.97,1,"TRESemme Core Shampoo or Conditioner, Rollback, $5.97",flyer-item,808983753,1
TRESemmé Shampoo,$5.97,1,"TRESemmé Shampoo, Rollback, $5.97",flyer-item,808983761,1
Dove Body Wash 591 mL,$7.97,1,"Dove Body Wash 591 mL, Rollback, $7.97",flyer-item,808983779,1
L'Oréal Paris Voluminous Mascara,$7.97,1,"L'Oréal Paris Voluminous Mascara, Rollback, $7.97",flyer-item,808983788,1
Crest White Mouthwash 946 mL,$8.97,1,"Crest White Mouthwash 946 mL, Rollback, $8.97",flyer-item,808983798,1
Crest Complete White Toothpaste 3 x 120 mL,$1,1,"Crest Complete White Toothpaste 3 x 120 mL, Rollback $1, $8.97",flyer-item,808983806,1
Always Pads 20s - 48s or liners 68s - 120s,$16,1,"Always Pads 20s - 48s or liners 68s - 120s, Multi, 2 for $16 or $9.98 to 10.48 each",flyer-item,808983814,1
Always Pads 20s-48s,$16,1,"Always Pads 20s-48s, Multi, 2 for $16 or 9.98 to 10.48 each",flyer-item,808983819,1
Children's Tylenol or Motrin,$8.47,1,"Children's Tylenol or Motrin, Rollback, $8.47",flyer-item,808983826,1
Children's Tylenol Or Motrin,$8.47,1,"Children's Tylenol Or Motrin, Rollback, $8.47",flyer-item,808983833,1
Tylenol Pain Relief,$15.77,1,"Tylenol Pain Relief, Rollback, $15.77",flyer-item,808983837,1
Webber Naturals Vitamins or Supplements,$16.97,1,"Webber Naturals Vitamins or Supplements, , $16.97",flyer-item,808983841,1
Webber Naturals Vitamins or Supplements,$16.97,1,"Webber Naturals Vitamins or Supplements, Rollback, $16.97",flyer-item,808983845,1
Baby Ddrops Liquid Vitamin D 400 IU,$13.47,1,"Baby Ddrops Liquid Vitamin D 400 IU, Rollback, $13.47",flyer-item,808983851,1
Muscle Milk Protein Shakes,$18,1,"Muscle Milk Protein Shakes, Multi, 2 for $18 or $10.47 each",flyer-item,808983853,1
Muscle Milk Protein Shakes,$18,1,"Muscle Milk Protein Shakes, Multi, 2 for $18 or 10.47 each",flyer-item,808983860,1
Jamieson Vitamins,$20.17,1,"Jamieson Vitamins, Rollback, $20.17",flyer-item,808983865,1
Six Star Whey Protein Powder,$28.97,1,"Six Star Whey Protein Powder, Rollback, $28.97",flyer-item,808983871,1
RestoraLAX Powder 45 Doses,$29.97,1,"RestoraLAX Powder 45 Doses, Rollback, $29.97",flyer-item,808983876,1
Thrive Gum 108s,$28.77,1,"Thrive Gum 108s, Rollback, $28.77",flyer-item,808983881,1
